epoch,loss,acc
0,1.0719619989395142,0.65625
0,5.322668552398682,0.4375
0,5.147317886352539,0.28125
0,2.172534465789795,0.46875
0,2.7238588333129883,0.4375
0,1.8644542694091797,0.40625
0,2.895887851715088,0.40625
0,1.5447462797164917,0.5
0,1.7558846473693848,0.46875
0,1.2268106937408447,0.5
0,1.2783842086791992,0.59375
0,1.1536519527435303,0.53125
0,1.2880127429962158,0.375
0,1.589983344078064,0.28125
0,0.9539645910263062,0.5
0,1.1411759853363037,0.4375
0,0.9354020357131958,0.375
0,0.7909187078475952,0.59375
0,1.0020768642425537,0.5625
0,0.8390452265739441,0.59375
0,0.8693712949752808,0.59375
0,1.2849122285842896,0.5
0,1.046928882598877,0.53125
0,0.7596070170402527,0.625
0,0.6914306282997131,0.5
0,0.7534598112106323,0.5
0,1.3943029642105103,0.625
0,1.0613504648208618,0.65625
0,1.1215741634368896,0.5
0,1.4593768119812012,0.53125
0,1.1422886848449707,0.53125
0,1.166567087173462,0.5
0,0.913030743598938,0.5
0,0.6329349279403687,0.71875
0,0.8151984810829163,0.65625
0,0.7719357013702393,0.625
0,0.9732959866523743,0.46875
0,0.7961546182632446,0.5
0,0.7570249438285828,0.625
0,0.7744943499565125,0.6875
0,1.1084908246994019,0.40625
0,0.744361162185669,0.6875
0,0.7934577465057373,0.625
0,0.843812108039856,0.59375
0,0.725715696811676,0.46875
0,0.7853420972824097,0.46875
0,1.1988580226898193,0.5
0,0.6823139786720276,0.5625
0,0.877056360244751,0.46875
0,0.8008084893226624,0.5625
0,0.7515000104904175,0.6875
0,0.7161279916763306,0.59375
0,0.9606326222419739,0.40625
0,0.6930549144744873,0.5
0,0.698453426361084,0.65625
0,0.660721480846405,0.75
0,0.8841519355773926,0.625
0,0.8225218653678894,0.53125
0,0.9126469492912292,0.4375
0,0.6212673187255859,0.625
0,0.7509951591491699,0.5625
0,1.2934529781341553,0.75
0,0.7186185717582703,0.5625
0,0.7344096899032593,0.46875
0,0.5705102682113647,0.71875
0,0.6416501998901367,0.53125
0,1.0063533782958984,0.6875
0,0.773750364780426,0.46875
0,0.7218680381774902,0.59375
0,0.774239182472229,0.5625
0,0.6263453960418701,0.625
0,1.0012125968933105,0.40625
0,0.8767787218093872,0.5625
0,0.7878365516662598,0.53125
0,1.202944040298462,0.5625
0,1.0130105018615723,0.5
0,0.9074372053146362,0.59375
0,0.6095081567764282,0.6875
0,0.7484643459320068,0.46875
0,0.6657649874687195,0.53125
0,0.7220261096954346,0.4375
0,1.4937949180603027,0.40625
0,1.1881942749023438,0.34375
0,0.6863064765930176,0.53125
0,0.7349239587783813,0.53125
0,0.6495869755744934,0.5714285969734192
1,0.7838074564933777,0.5625
1,0.8505824208259583,0.46875
1,0.5159134864807129,0.78125
1,0.6488045454025269,0.65625
1,0.6902238130569458,0.625
1,0.9171606302261353,0.53125
